"concept_cd","ICD_Description","Long_COVID_Likelihood_Speculative","Explanation_Speculative","Chronic_Status","Chronic_Explanation"
"ICD10:R30.9","Other specified abnormal findings (R30)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R39.12","Poor urinary stream","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R33.9","Retention of urine, unspecified","Moderate-Low","Speculative but biologically plausible connections","Can-be-Chronic","Symptom/condition that can become chronic if persistent"
"ICD10:R39.13","Splitting of urinary stream","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R39.16","Straining to void","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R82.90","Unspecified abnormal findings in urine","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R39.9","Unspecified symptoms involving genitourinary system","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R36.9","Other specified abnormal findings (R36)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R39.15","Urgency of urination","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R30.1","Other specified abnormal findings (R30)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:I11.0","Diseases of the circulatory system (I11.0)","Unlikely","No clear association with long COVID","Chronic","Inherently chronic condition or long-term management required"
"ICD10:I11.9","Diseases of the circulatory system (I11.9)","Unlikely","No clear association with long COVID","Chronic","Inherently chronic condition or long-term management required"
"ICD10:G44.311","Episodic paroxysmal hemicrania, intractable","Moderate","Emerging evidence or plausible systemic associations","Chronic","Inherently chronic condition or long-term management required"
"ICD10:G44.319","Episodic paroxysmal hemicrania, not intractable","Moderate","Emerging evidence or plausible systemic associations","Chronic","Inherently chronic condition or long-term management required"
"ICD10:G43.711","Diseases of the nervous system (G43.711)","Unlikely","No clear association with long COVID","Chronic","Inherently chronic condition or long-term management required"
"ICD10:G43.719","Diseases of the nervous system (G43.719)","Unlikely","No clear association with long COVID","Chronic","Inherently chronic condition or long-term management required"
"ICD10:G43.709","Diseases of the nervous system (G43.709)","Unlikely","No clear association with long COVID","Chronic","Inherently chronic condition or long-term management required"
"ICD10:G44.041","New daily persistent headache, intractable","Moderate","Emerging evidence or plausible systemic associations","Chronic","Inherently chronic condition or long-term management required"
"ICD10:G44.049","New daily persistent headache, not intractable","Moderate","Emerging evidence or plausible systemic associations","Chronic","Inherently chronic condition or long-term management required"
"ICD10:G44.321","Chronic paroxysmal hemicrania, intractable","Moderate","Emerging evidence or plausible systemic associations","Chronic","Inherently chronic condition or long-term management required"
"ICD10:G44.329","Chronic paroxysmal hemicrania, not intractable","Moderate","Emerging evidence or plausible systemic associations","Chronic","Inherently chronic condition or long-term management required"
"ICD10:G44.221","Chronic cluster headache, intractable","Moderate","Emerging evidence or plausible systemic associations","Chronic","Inherently chronic condition or long-term management required"
"ICD10:G44.229","Other headache syndromes (G44.229)","Moderate","Emerging evidence or plausible systemic associations","Chronic","Inherently chronic condition or long-term management required"
"ICD10:G44.001","Other headache syndromes (G44.001)","Moderate","Emerging evidence or plausible systemic associations","Chronic","Inherently chronic condition or long-term management required"
"ICD10:G44.009","Other headache syndromes (G44.009)","Moderate","Emerging evidence or plausible systemic associations","Chronic","Inherently chronic condition or long-term management required"
"ICD10:G44.011","Other headache syndromes (G44.011)","Moderate","Emerging evidence or plausible systemic associations","Chronic","Inherently chronic condition or long-term management required"
"ICD10:G44.019","Other headache syndromes (G44.019)","Moderate","Emerging evidence or plausible systemic associations","Chronic","Inherently chronic condition or long-term management required"
"ICD10:G44.031","Other headache syndromes (G44.031)","Moderate","Emerging evidence or plausible systemic associations","Chronic","Inherently chronic condition or long-term management required"
"ICD10:G44.039","Other headache syndromes (G44.039)","Moderate","Emerging evidence or plausible systemic associations","Chronic","Inherently chronic condition or long-term management required"
"ICD10:G44.219","Other headache syndromes (G44.219)","Moderate","Emerging evidence or plausible systemic associations","Chronic","Inherently chronic condition or long-term management required"
"ICD10:R51","Headache (R51)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:G44.51","Other headache syndromes (G44.51)","Moderate","Emerging evidence or plausible systemic associations","Chronic","Inherently chronic condition or long-term management required"
"ICD10:G43.409","Diseases of the nervous system (G43.409)","Unlikely","No clear association with long COVID","Chronic","Inherently chronic condition or long-term management required"
"ICD10:G44.81","Other headache syndromes (G44.81)","Moderate","Emerging evidence or plausible systemic associations","Chronic","Inherently chronic condition or long-term management required"
"ICD10:G43.831","Diseases of the nervous system (G43.831)","Unlikely","No clear association with long COVID","Chronic","Inherently chronic condition or long-term management required"
"ICD10:G43.829","Diseases of the nervous system (G43.829)","Unlikely","No clear association with long COVID","Chronic","Inherently chronic condition or long-term management required"
"ICD10:G43.111","Diseases of the nervous system (G43.111)","Unlikely","No clear association with long COVID","Chronic","Inherently chronic condition or long-term management required"
"ICD10:G43.119","Diseases of the nervous system (G43.119)","Unlikely","No clear association with long COVID","Chronic","Inherently chronic condition or long-term management required"
"ICD10:G43.101","Diseases of the nervous system (G43.101)","Unlikely","No clear association with long COVID","Chronic","Inherently chronic condition or long-term management required"
"ICD10:G43.109","Diseases of the nervous system (G43.109)","Unlikely","No clear association with long COVID","Chronic","Inherently chronic condition or long-term management required"
"ICD10:G43.011","Diseases of the nervous system (G43.011)","Unlikely","No clear association with long COVID","Chronic","Inherently chronic condition or long-term management required"
"ICD10:G43.019","Diseases of the nervous system (G43.019)","Unlikely","No clear association with long COVID","Chronic","Inherently chronic condition or long-term management required"
"ICD10:G43.001","Diseases of the nervous system (G43.001)","Unlikely","No clear association with long COVID","Chronic","Inherently chronic condition or long-term management required"
"ICD10:G43.009","Diseases of the nervous system (G43.009)","Unlikely","No clear association with long COVID","Chronic","Inherently chronic condition or long-term management required"
"ICD10:G43.911","Diseases of the nervous system (G43.911)","Unlikely","No clear association with long COVID","Chronic","Inherently chronic condition or long-term management required"
"ICD10:G43.919","Diseases of the nervous system (G43.919)","Unlikely","No clear association with long COVID","Chronic","Inherently chronic condition or long-term management required"
"ICD10:G43.901","Diseases of the nervous system (G43.901)","Unlikely","No clear association with long COVID","Chronic","Inherently chronic condition or long-term management required"
"ICD10:G43.909","Diseases of the nervous system (G43.909)","Unlikely","No clear association with long COVID","Chronic","Inherently chronic condition or long-term management required"
"ICD10:G44.52","Other headache syndromes (G44.52)","Moderate","Emerging evidence or plausible systemic associations","Chronic","Inherently chronic condition or long-term management required"
"ICD10:G43.B1","Diseases of the nervous system (G43.B1)","Unlikely","No clear association with long COVID","Chronic","Inherently chronic condition or long-term management required"
"ICD10:G43.B0","Diseases of the nervous system (G43.B0)","Unlikely","No clear association with long COVID","Chronic","Inherently chronic condition or long-term management required"
"ICD10:G44.59","Other headache syndromes (G44.59)","Moderate","Emerging evidence or plausible systemic associations","Chronic","Inherently chronic condition or long-term management required"
"ICD10:G44.89","Other headache syndromes (G44.89)","Moderate","Emerging evidence or plausible systemic associations","Chronic","Inherently chronic condition or long-term management required"
"ICD10:G43.811","Diseases of the nervous system (G43.811)","Unlikely","No clear association with long COVID","Chronic","Inherently chronic condition or long-term management required"
"ICD10:G43.819","Diseases of the nervous system (G43.819)","Unlikely","No clear association with long COVID","Chronic","Inherently chronic condition or long-term management required"
"ICD10:G43.801","Diseases of the nervous system (G43.801)","Unlikely","No clear association with long COVID","Chronic","Inherently chronic condition or long-term management required"
"ICD10:G43.809","Diseases of the nervous system (G43.809)","Unlikely","No clear association with long COVID","Chronic","Inherently chronic condition or long-term management required"
"ICD10:G43.C1","Diseases of the nervous system (G43.C1)","Unlikely","No clear association with long COVID","Chronic","Inherently chronic condition or long-term management required"
"ICD10:G43.C0","Diseases of the nervous system (G43.C0)","Unlikely","No clear association with long COVID","Chronic","Inherently chronic condition or long-term management required"
"ICD10:G43.519","Diseases of the nervous system (G43.519)","Unlikely","No clear association with long COVID","Chronic","Inherently chronic condition or long-term management required"
"ICD10:G43.501","Diseases of the nervous system (G43.501)","Unlikely","No clear association with long COVID","Chronic","Inherently chronic condition or long-term management required"
"ICD10:G44.301","Other headache syndromes (G44.301)","Moderate","Emerging evidence or plausible systemic associations","Chronic","Inherently chronic condition or long-term management required"
"ICD10:G44.309","Other headache syndromes (G44.309)","Moderate","Emerging evidence or plausible systemic associations","Chronic","Inherently chronic condition or long-term management required"
"ICD10:G44.83","Other headache syndromes (G44.83)","Moderate","Emerging evidence or plausible systemic associations","Chronic","Inherently chronic condition or long-term management required"
"ICD10:G44.85","Other headache syndromes (G44.85)","Moderate","Emerging evidence or plausible systemic associations","Chronic","Inherently chronic condition or long-term management required"
"ICD10:G44.53","Other headache syndromes (G44.53)","Moderate","Emerging evidence or plausible systemic associations","Chronic","Inherently chronic condition or long-term management required"
"ICD10:G44.059","Other headache syndromes (G44.059)","Moderate","Emerging evidence or plausible systemic associations","Chronic","Inherently chronic condition or long-term management required"
"ICD10:G44.201","Other headache syndromes (G44.201)","Moderate","Emerging evidence or plausible systemic associations","Chronic","Inherently chronic condition or long-term management required"
"ICD10:G44.209","Other headache syndromes (G44.209)","Moderate","Emerging evidence or plausible systemic associations","Chronic","Inherently chronic condition or long-term management required"
"ICD10:G44.1","Other headache syndromes (G44.1)","Moderate","Emerging evidence or plausible systemic associations","Chronic","Inherently chronic condition or long-term management required"
"ICD10:H90.0","Conductive and sensorineural hearing loss (H90.0)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:H90.12","Conductive and sensorineural hearing loss (H90.12)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:H90.11","Conductive and sensorineural hearing loss (H90.11)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:H90.2","Conductive and sensorineural hearing loss (H90.2)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:H90.6","Conductive and sensorineural hearing loss (H90.6)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:H90.72","Conductive and sensorineural hearing loss (H90.72)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:H90.71","Conductive and sensorineural hearing loss (H90.71)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:H90.8","Conductive and sensorineural hearing loss (H90.8)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:H91.8X3","Other and unspecified hearing loss (H91.8X3)","Moderate","Emerging evidence or plausible systemic associations","Chronic","Inherently chronic condition or long-term management required"
"ICD10:H91.8X2","Other and unspecified hearing loss (H91.8X2)","Moderate","Emerging evidence or plausible systemic associations","Chronic","Inherently chronic condition or long-term management required"
"ICD10:H91.8X1","Other and unspecified hearing loss (H91.8X1)","Moderate","Emerging evidence or plausible systemic associations","Chronic","Inherently chronic condition or long-term management required"
"ICD10:H91.8X9","Other and unspecified hearing loss (H91.8X9)","Moderate","Emerging evidence or plausible systemic associations","Chronic","Inherently chronic condition or long-term management required"
"ICD10:H91.13","Other and unspecified hearing loss (H91.13)","Moderate","Emerging evidence or plausible systemic associations","Chronic","Inherently chronic condition or long-term management required"
"ICD10:H91.10","Other and unspecified hearing loss (H91.10)","Moderate","Emerging evidence or plausible systemic associations","Chronic","Inherently chronic condition or long-term management required"
"ICD10:H90.3","Conductive and sensorineural hearing loss (H90.3)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:H90.42","Conductive and sensorineural hearing loss (H90.42)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:H90.41","Conductive and sensorineural hearing loss (H90.41)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:H91.23","Other and unspecified hearing loss (H91.23)","Moderate","Emerging evidence or plausible systemic associations","Chronic","Inherently chronic condition or long-term management required"
"ICD10:H91.22","Other and unspecified hearing loss (H91.22)","Moderate","Emerging evidence or plausible systemic associations","Chronic","Inherently chronic condition or long-term management required"
"ICD10:H91.21","Other and unspecified hearing loss (H91.21)","Moderate","Emerging evidence or plausible systemic associations","Chronic","Inherently chronic condition or long-term management required"
"ICD10:H91.20","Other and unspecified hearing loss (H91.20)","Moderate","Emerging evidence or plausible systemic associations","Chronic","Inherently chronic condition or long-term management required"
"ICD10:H91.93","Other and unspecified hearing loss (H91.93)","Moderate","Emerging evidence or plausible systemic associations","Chronic","Inherently chronic condition or long-term management required"
"ICD10:H91.92","Other and unspecified hearing loss (H91.92)","Moderate","Emerging evidence or plausible systemic associations","Chronic","Inherently chronic condition or long-term management required"
"ICD10:H91.91","Other and unspecified hearing loss (H91.91)","Moderate","Emerging evidence or plausible systemic associations","Chronic","Inherently chronic condition or long-term management required"
"ICD10:H91.90","Other and unspecified hearing loss (H91.90)","Moderate","Emerging evidence or plausible systemic associations","Chronic","Inherently chronic condition or long-term management required"
"ICD10:H90.5","Conductive and sensorineural hearing loss (H90.5)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:I50.41","Acute combined systolic and diastolic heart failure","Unlikely","No clear association with long COVID","Chronic","Inherently chronic condition or long-term management required"
"ICD10:I50.31","Acute diastolic (congestive) heart failure","Unlikely","No clear association with long COVID","Chronic","Inherently chronic condition or long-term management required"
"ICD10:I50.43","Acute on chronic combined systolic and diastolic heart failure","Unlikely","No clear association with long COVID","Chronic","Inherently chronic condition or long-term management required"
"ICD10:I50.33","Acute on chronic diastolic (congestive) heart failure","Unlikely","No clear association with long COVID","Chronic","Inherently chronic condition or long-term management required"
"ICD10:I50.23","Acute on chronic systolic (congestive) heart failure","Unlikely","No clear association with long COVID","Chronic","Inherently chronic condition or long-term management required"
"ICD10:I50.21","Acute systolic (congestive) heart failure","Unlikely","No clear association with long COVID","Chronic","Inherently chronic condition or long-term management required"
"ICD10:I50.42","Chronic combined systolic and diastolic heart failure","Unlikely","No clear association with long COVID","Chronic","Inherently chronic condition or long-term management required"
"ICD10:I50.32","Chronic diastolic (congestive) heart failure","Unlikely","No clear association with long COVID","Chronic","Inherently chronic condition or long-term management required"
"ICD10:I50.22","Chronic systolic (congestive) heart failure","Unlikely","No clear association with long COVID","Chronic","Inherently chronic condition or long-term management required"
"ICD10:I50.9","Heart failure, unspecified","Unlikely","No clear association with long COVID","Chronic","Inherently chronic condition or long-term management required"
"ICD10:I50.1","Left ventricular failure","Unlikely","No clear association with long COVID","Chronic","Inherently chronic condition or long-term management required"
"ICD10:Z95.811","Factors influencing health status and contact with health services (Z95.811)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:I50.40","Unspecified combined systolic and diastolic heart failure","Unlikely","No clear association with long COVID","Chronic","Inherently chronic condition or long-term management required"
"ICD10:I50.30","Unspecified diastolic (congestive) heart failure","Unlikely","No clear association with long COVID","Chronic","Inherently chronic condition or long-term management required"
"ICD10:I50.20","Unspecified systolic (congestive) heart failure","Unlikely","No clear association with long COVID","Chronic","Inherently chronic condition or long-term management required"
"ICD10:R31.1","Benign essential microscopic hematuria","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R31.0","Gross hematuria","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R31.9","Hematuria, unspecified","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:D89.810","Other disorders involving the immune mechanism, not elsewhere classified (D89.810)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:D89.82","Other disorders involving the immune mechanism, not elsewhere classified (D89.82)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:D81.810","Diseases of blood and blood-forming organs and immune disorders (D81.810)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:D89.811","Other disorders involving the immune mechanism, not elsewhere classified (D89.811)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:D81.9","Diseases of blood and blood-forming organs and immune disorders (D81.9)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:D83.1","Diseases of blood and blood-forming organs and immune disorders (D83.1)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:D83.9","Diseases of blood and blood-forming organs and immune disorders (D83.9)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:D89.1","Other disorders involving the immune mechanism, not elsewhere classified (D89.1)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:D89.9","Other disorders involving the immune mechanism, not elsewhere classified (D89.9)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:D89.813","Other disorders involving the immune mechanism, not elsewhere classified (D89.813)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:D89.2","Other disorders involving the immune mechanism, not elsewhere classified (D89.2)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:D89.42","Other disorders involving the immune mechanism, not elsewhere classified (D89.42)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:D80.9","Immunodeficiency with predominantly antibody defects (D80.9)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:D84.9","Other immunodeficiencies (D84.9)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:D89.40","Other disorders involving the immune mechanism, not elsewhere classified (D89.40)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:D80.1","Immunodeficiency with predominantly antibody defects (D80.1)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:D83.8","Diseases of blood and blood-forming organs and immune disorders (D83.8)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:D80.8","Immunodeficiency with predominantly antibody defects (D80.8)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:D89.89","Other disorders involving the immune mechanism, not elsewhere classified (D89.89)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:D89.0","Other disorders involving the immune mechanism, not elsewhere classified (D89.0)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:D86.85","Diseases of blood and blood-forming organs and immune disorders (D86.85)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:D86.0","Diseases of blood and blood-forming organs and immune disorders (D86.0)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:D86.2","Diseases of blood and blood-forming organs and immune disorders (D86.2)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:D86.1","Diseases of blood and blood-forming organs and immune disorders (D86.1)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:D86.89","Diseases of blood and blood-forming organs and immune disorders (D86.89)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:D86.9","Diseases of blood and blood-forming organs and immune disorders (D86.9)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:D80.2","Immunodeficiency with predominantly antibody defects (D80.2)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:D80.3","Immunodeficiency with predominantly antibody defects (D80.3)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:D80.4","Immunodeficiency with predominantly antibody defects (D80.4)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R53.82","Chronic fatigue, unspecified","High","Core long COVID symptoms with strong evidence","Chronic","Inherently chronic condition or long-term management required"
"ICD10:R53.83","Other fatigue","High","Core long COVID symptoms with strong evidence","Can-be-Chronic","Symptom/condition that can become chronic if persistent"
"ICD10:R53.81","Other malaise","High","Core long COVID symptoms with strong evidence","Can-be-Chronic","Symptom/condition that can become chronic if persistent"
"ICD10:R53.1","Weakness","High","Core long COVID symptoms with strong evidence","Can-be-Chronic","Symptom/condition that can become chronic if persistent"
"ICD10:I40.9","Diseases of the circulatory system (I40.9)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:I42.6","Cardiomyopathy (I42.6)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:I42.7","Cardiomyopathy (I42.7)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:I43","Diseases of the circulatory system (I43)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:I42.9","Cardiomyopathy (I42.9)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:I42.0","Cardiomyopathy (I42.0)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:I40.0","Diseases of the circulatory system (I40.0)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:I25.5","Diseases of the circulatory system (I25.5)","Unlikely","No clear association with long COVID","Chronic","Inherently chronic condition or long-term management required"
"ICD10:I40.1","Diseases of the circulatory system (I40.1)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:I41","Diseases of the circulatory system (I41)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:I51.4","Diseases of the circulatory system (I51.4)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:I42.1","Cardiomyopathy (I42.1)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:I40.8","Diseases of the circulatory system (I40.8)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:I42.8","Cardiomyopathy (I42.8)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:I42.2","Cardiomyopathy (I42.2)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:I42.5","Cardiomyopathy (I42.5)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:O90.3","Pregnancy, childbirth and the puerperium (O90.3)","Unlikely","No clear association with long COVID","Acute","Typically acute condition or intervention"
"ICD10:B33.24","Other viral diseases, not elsewhere classified (B33.24)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:B33.22","Other viral diseases, not elsewhere classified (B33.22)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R11.14","Bilious vomiting","Moderate","Emerging evidence or plausible systemic associations","Can-be-Chronic","Symptom/condition that can become chronic if persistent"
"ICD10:R11.0","Nausea","Moderate","Emerging evidence or plausible systemic associations","Can-be-Chronic","Symptom/condition that can become chronic if persistent"
"ICD10:R11.2","Nausea with vomiting, unspecified","Moderate","Emerging evidence or plausible systemic associations","Can-be-Chronic","Symptom/condition that can become chronic if persistent"
"ICD10:R11.12","Projectile vomiting","Moderate","Emerging evidence or plausible systemic associations","Can-be-Chronic","Symptom/condition that can become chronic if persistent"
"ICD10:R11.11","Vomiting without nausea","Moderate","Emerging evidence or plausible systemic associations","Can-be-Chronic","Symptom/condition that can become chronic if persistent"
"ICD10:R11.10","Vomiting, unspecified","Moderate","Emerging evidence or plausible systemic associations","Can-be-Chronic","Symptom/condition that can become chronic if persistent"
"ICD10:G89.11","Diseases of the nervous system (G89.11)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:G89.12","Diseases of the nervous system (G89.12)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:G89.0","Diseases of the nervous system (G89.0)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:G89.21","Diseases of the nervous system (G89.21)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:G89.4","Diseases of the nervous system (G89.4)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:G89.22","Diseases of the nervous system (G89.22)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:G90.521","Complex regional pain syndrome II of upper limb","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:G90.2","Disorders of autonomic nervous system (G90.2)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:G89.18","Diseases of the nervous system (G89.18)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:G89.29","Diseases of the nervous system (G89.29)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:G89.28","Diseases of the nervous system (G89.28)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R29.2","Other specified abnormal findings (R29)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R41.81","Other symptoms involving cognitive functions (R41.81)","Moderate","Emerging evidence or plausible systemic associations","Can-be-Chronic","Symptom/condition that can become chronic if persistent"
"ICD10:R48.1","Other specified abnormal findings (R48)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R41.82","Altered mental status, unspecified","Moderate","Emerging evidence or plausible systemic associations","Can-be-Chronic","Symptom/condition that can become chronic if persistent"
"ICD10:R43.0","Anosmia","Moderate","Emerging evidence or plausible systemic associations","Can-be-Chronic","Symptom/condition that can become chronic if persistent"
"ICD10:R47.01","Other specified abnormal findings (R47)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R48.2","Other specified abnormal findings (R48)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R27.0","Other specified abnormal findings (R27)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R26.0","Other specified abnormal findings (R26)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R41.840","Attention and concentration deficit","Moderate","Emerging evidence or plausible systemic associations","Can-be-Chronic","Symptom/condition that can become chronic if persistent"
"ICD10:R41.83","Borderline intellectual functioning","Moderate","Emerging evidence or plausible systemic associations","Can-be-Chronic","Symptom/condition that can become chronic if persistent"
"ICD10:R41.841","Cognitive communication deficit","Moderate","Emerging evidence or plausible systemic associations","Can-be-Chronic","Symptom/condition that can become chronic if persistent"
"ICD10:R40.2334","Somnolence, stupor and coma (R40.2334)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R40.2362","Somnolence, stupor and coma (R40.2362)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R40.2363","Somnolence, stupor and coma (R40.2363)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R40.2254","Somnolence, stupor and coma (R40.2254)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R40.2252","Somnolence, stupor and coma (R40.2252)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R40.2253","Somnolence, stupor and coma (R40.2253)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R40.2142","Somnolence, stupor and coma (R40.2142)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R40.2143","Somnolence, stupor and coma (R40.2143)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R40.2134","Somnolence, stupor and coma (R40.2134)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
