Unnamed: 0,concept_cd,ICD_Description,Long_COVID_Likelihood_Speculative,Explanation_Speculative,Chronic_Status,Chronic_Explanation
555,ICD10:K22.6,Other diseases of esophagus (K22.6),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
556,ICD10:K21.0,Gastro-esophageal reflux disease (K21.0),Low,Possible association based on systemic inflammation patterns,Chronic,Inherently chronic condition or long-term management required
557,ICD10:K21.9,Gastro-esophageal reflux disease (K21.9),Low,Possible association based on systemic inflammation patterns,Chronic,Inherently chronic condition or long-term management required
558,ICD10:K22.8,Other diseases of esophagus (K22.8),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
559,ICD10:K22.3,Other diseases of esophagus (K22.3),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
560,ICD10:K22.11,Other diseases of esophagus (K22.11),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
561,ICD10:K22.10,Other diseases of esophagus (K22.10),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
562,ICD10:E87.2,"Other disorders of fluid, electrolyte and acid-base balance (E87.2)",Moderate-Low,Speculative but biologically plausible connections,Can-be-Chronic,Symptom/condition that can become chronic if persistent
563,ICD10:E87.3,Alkalosis,Moderate-Low,Speculative but biologically plausible connections,Can-be-Chronic,Symptom/condition that can become chronic if persistent
564,ICD10:E86.0,Dehydration,Moderate-Low,Speculative but biologically plausible connections,Can-be-Chronic,Symptom/condition that can become chronic if persistent
565,ICD10:E87.70,"Fluid overload, unspecified",Moderate-Low,Speculative but biologically plausible connections,Can-be-Chronic,Symptom/condition that can become chronic if persistent
566,ICD10:E87.5,Hyperkalemia,Moderate-Low,Speculative but biologically plausible connections,Can-be-Chronic,Symptom/condition that can become chronic if persistent
567,ICD10:E87.0,Hyperosmolality and hypernatremia,Moderate-Low,Speculative but biologically plausible connections,Can-be-Chronic,Symptom/condition that can become chronic if persistent
568,ICD10:E87.1,Hypo-osmolality and hyponatremia,Moderate-Low,Speculative but biologically plausible connections,Can-be-Chronic,Symptom/condition that can become chronic if persistent
569,ICD10:E87.6,Hypokalemia,Moderate-Low,Speculative but biologically plausible connections,Can-be-Chronic,Symptom/condition that can become chronic if persistent
570,ICD10:E86.1,Hypovolemia,Moderate-Low,Speculative but biologically plausible connections,Can-be-Chronic,Symptom/condition that can become chronic if persistent
571,ICD10:E87.4,"Other disorders of fluid, electrolyte and acid-base balance (E87.4)",Moderate-Low,Speculative but biologically plausible connections,Can-be-Chronic,Symptom/condition that can become chronic if persistent
572,ICD10:E87.8,"Other disorders of fluid, electrolyte and acid-base balance (E87.8)",Moderate-Low,Speculative but biologically plausible connections,Can-be-Chronic,Symptom/condition that can become chronic if persistent
573,ICD10:E87.79,"Other disorders of fluid, electrolyte and acid-base balance (E87.79)",Moderate-Low,Speculative but biologically plausible connections,Can-be-Chronic,Symptom/condition that can become chronic if persistent
574,ICD10:E87.71,"Other disorders of fluid, electrolyte and acid-base balance (E87.71)",Moderate-Low,Speculative but biologically plausible connections,Can-be-Chronic,Symptom/condition that can become chronic if persistent
575,ICD10:E86.9,"Volume depletion, unspecified",Moderate-Low,Speculative but biologically plausible connections,Can-be-Chronic,Symptom/condition that can become chronic if persistent
576,ICD10PCS:0DB68ZX,Procedure code: PCS: 0DB68ZX,Unlikely,No clear association with long COVID,Acute,Typically acute condition or intervention
577,ICD10PCS:0D1B0Z4,Procedure code: PCS: 0D1B0Z4,Unlikely,No clear association with long COVID,Acute,Typically acute condition or intervention
578,ICD10PCS:0DTH0ZZ,Procedure code: PCS: 0DTH0ZZ,Unlikely,No clear association with long COVID,Acute,Typically acute condition or intervention
579,ICD10PCS:0DTM0ZZ,Procedure code: PCS: 0DTM0ZZ,Unlikely,No clear association with long COVID,Acute,Typically acute condition or intervention
580,ICD10PCS:0DTK0ZZ,Procedure code: PCS: 0DTK0ZZ,Unlikely,No clear association with long COVID,Acute,Typically acute condition or intervention
581,ICD10PCS:0DTN0ZZ,Procedure code: PCS: 0DTN0ZZ,Unlikely,No clear association with long COVID,Acute,Typically acute condition or intervention
582,ICD10PCS:0DBP0ZZ,Procedure code: PCS: 0DBP0ZZ,Unlikely,No clear association with long COVID,Acute,Typically acute condition or intervention
583,ICD10PCS:0DH63UZ,Procedure code: PCS: 0DH63UZ,Unlikely,No clear association with long COVID,Acute,Typically acute condition or intervention
584,ICD10PCS:06L38CZ,Procedure code: PCS: 06L38CZ,Unlikely,No clear association with long COVID,Acute,Typically acute condition or intervention
585,ICD10PCS:0D1B4Z4,Procedure code: PCS: 0D1B4Z4,Unlikely,No clear association with long COVID,Acute,Typically acute condition or intervention
586,ICD10PCS:0DBP4ZZ,Procedure code: PCS: 0DBP4ZZ,Unlikely,No clear association with long COVID,Acute,Typically acute condition or intervention
587,ICD10PCS:0DBN4ZZ,Procedure code: PCS: 0DBN4ZZ,Unlikely,No clear association with long COVID,Acute,Typically acute condition or intervention
588,ICD10PCS:0DTF0ZZ,Procedure code: PCS: 0DTF0ZZ,Unlikely,No clear association with long COVID,Acute,Typically acute condition or intervention
589,ICD10PCS:0DTK4ZZ,Procedure code: PCS: 0DTK4ZZ,Unlikely,No clear association with long COVID,Acute,Typically acute condition or intervention
590,ICD10PCS:0DB78ZX,Procedure code: PCS: 0DB78ZX,Unlikely,No clear association with long COVID,Acute,Typically acute condition or intervention
591,ICD10PCS:0DHA4UZ,Procedure code: PCS: 0DHA4UZ,Unlikely,No clear association with long COVID,Acute,Typically acute condition or intervention
592,ICD10PCS:0DX60Z5,Procedure code: PCS: 0DX60Z5,Unlikely,No clear association with long COVID,Acute,Typically acute condition or intervention
593,ICD10PCS:0DT40ZZ,Procedure code: PCS: 0DT40ZZ,Unlikely,No clear association with long COVID,Acute,Typically acute condition or intervention
594,ICD10PCS:0DJ08ZZ,Procedure code: PCS: 0DJ08ZZ,Unlikely,No clear association with long COVID,Acute,Typically acute condition or intervention
595,ICD10PCS:0DB60ZZ,Procedure code: PCS: 0DB60ZZ,Unlikely,No clear association with long COVID,Acute,Typically acute condition or intervention
596,ICD10PCS:0DB30ZZ,Procedure code: PCS: 0DB30ZZ,Unlikely,No clear association with long COVID,Acute,Typically acute condition or intervention
597,ICD10PCS:0D1E0Z4,Procedure code: PCS: 0D1E0Z4,Unlikely,No clear association with long COVID,Acute,Typically acute condition or intervention
598,ICD10PCS:0DNE0ZZ,Procedure code: PCS: 0DNE0ZZ,Unlikely,No clear association with long COVID,Acute,Typically acute condition or intervention
599,ICD10PCS:0DBB0ZZ,Procedure code: PCS: 0DBB0ZZ,Unlikely,No clear association with long COVID,Acute,Typically acute condition or intervention
600,ICD10PCS:0DB58ZX,Procedure code: PCS: 0DB58ZX,Unlikely,No clear association with long COVID,Acute,Typically acute condition or intervention
601,ICD10PCS:0DB98ZX,Procedure code: PCS: 0DB98ZX,Unlikely,No clear association with long COVID,Acute,Typically acute condition or intervention
602,ICD10PCS:0DBN8ZX,Procedure code: PCS: 0DBN8ZX,Unlikely,No clear association with long COVID,Acute,Typically acute condition or intervention
603,ICD10PCS:0D9670Z,Procedure code: PCS: 0D9670Z,Unlikely,No clear association with long COVID,Acute,Typically acute condition or intervention
604,ICD10:R44.0,Other specified abnormal findings (R44),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
605,ICD10:R42,Dizziness and giddiness,Moderate,Emerging evidence or plausible systemic associations,Can-be-Chronic,Symptom/condition that can become chronic if persistent
606,ICD10:R44.3,Other specified abnormal findings (R44),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
607,ICD10:R44.2,Other specified abnormal findings (R44),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
608,ICD10:R44.8,Other specified abnormal findings (R44),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
609,ICD10:R44.9,Other specified abnormal findings (R44),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
610,ICD10:R44.1,Other specified abnormal findings (R44),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
611,ICD10:R82.4,Acetonuria,Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
612,ICD10:R34,Other specified abnormal findings (R34),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
613,ICD10:R82.2,Biliuria,Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
614,ICD10:N39.9,Diseases of the genitourinary system (N39.9),Moderate-Low,Speculative but biologically plausible connections,Variable,Can be acute or chronic depending on context
615,ICD10:R30.0,Other specified abnormal findings (R30),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
616,ICD10:R82.5,"Elevated urine levels of drugs, medicaments and biological substances",Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
617,ICD10:R39.0,Extravasation of urine,Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
618,ICD10:R39.14,Feeling of incomplete bladder emptying,Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
619,ICD10:R35.0,Frequency of micturition,Moderate-Low,Speculative but biologically plausible connections,Can-be-Chronic,Symptom/condition that can become chronic if persistent
620,ICD10:R36.1,Other specified abnormal findings (R36),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
621,ICD10:R82.3,Hemoglobinuria,Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
622,ICD10:R39.11,Hesitancy of micturition,Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
623,ICD10:R35.1,Nocturia,Moderate-Low,Speculative but biologically plausible connections,Can-be-Chronic,Symptom/condition that can become chronic if persistent
624,ICD10:R35.8,Polyuria (R35.8),Moderate-Low,Speculative but biologically plausible connections,Can-be-Chronic,Symptom/condition that can become chronic if persistent
625,ICD10:R33.8,Other retention of urine,Moderate-Low,Speculative but biologically plausible connections,Can-be-Chronic,Symptom/condition that can become chronic if persistent
626,ICD10:N39.8,Diseases of the genitourinary system (N39.8),Moderate-Low,Speculative but biologically plausible connections,Variable,Can be acute or chronic depending on context
627,ICD10:R39.89,Other symptoms involving genitourinary system,Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
628,ICD10:R30.9,Other specified abnormal findings (R30),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
629,ICD10:R39.12,Poor urinary stream,Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
630,ICD10:R33.9,"Retention of urine, unspecified",Moderate-Low,Speculative but biologically plausible connections,Can-be-Chronic,Symptom/condition that can become chronic if persistent
631,ICD10:R39.13,Splitting of urinary stream,Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
632,ICD10:R39.16,Straining to void,Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
633,ICD10:R82.90,Unspecified abnormal findings in urine,Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
634,ICD10:R39.9,Unspecified symptoms involving genitourinary system,Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
635,ICD10:R36.9,Other specified abnormal findings (R36),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
636,ICD10:R39.15,Urgency of urination,Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
637,ICD10:R30.1,Other specified abnormal findings (R30),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
638,ICD10:I11.0,Diseases of the circulatory system (I11.0),Unlikely,No clear association with long COVID,Chronic,Inherently chronic condition or long-term management required
639,ICD10:I11.9,Diseases of the circulatory system (I11.9),Unlikely,No clear association with long COVID,Chronic,Inherently chronic condition or long-term management required
640,ICD10:G44.311,"Episodic paroxysmal hemicrania, intractable",Moderate,Emerging evidence or plausible systemic associations,Chronic,Inherently chronic condition or long-term management required
641,ICD10:G44.319,"Episodic paroxysmal hemicrania, not intractable",Moderate,Emerging evidence or plausible systemic associations,Chronic,Inherently chronic condition or long-term management required
642,ICD10:G43.711,Diseases of the nervous system (G43.711),Unlikely,No clear association with long COVID,Chronic,Inherently chronic condition or long-term management required
643,ICD10:G43.719,Diseases of the nervous system (G43.719),Unlikely,No clear association with long COVID,Chronic,Inherently chronic condition or long-term management required
644,ICD10:G43.709,Diseases of the nervous system (G43.709),Unlikely,No clear association with long COVID,Chronic,Inherently chronic condition or long-term management required
645,ICD10:G44.041,"New daily persistent headache, intractable",Moderate,Emerging evidence or plausible systemic associations,Chronic,Inherently chronic condition or long-term management required
646,ICD10:G44.049,"New daily persistent headache, not intractable",Moderate,Emerging evidence or plausible systemic associations,Chronic,Inherently chronic condition or long-term management required
647,ICD10:G44.321,"Chronic paroxysmal hemicrania, intractable",Moderate,Emerging evidence or plausible systemic associations,Chronic,Inherently chronic condition or long-term management required
648,ICD10:G44.329,"Chronic paroxysmal hemicrania, not intractable",Moderate,Emerging evidence or plausible systemic associations,Chronic,Inherently chronic condition or long-term management required
649,ICD10:G44.221,"Chronic cluster headache, intractable",Moderate,Emerging evidence or plausible systemic associations,Chronic,Inherently chronic condition or long-term management required
650,ICD10:G44.229,Other headache syndromes (G44.229),Moderate,Emerging evidence or plausible systemic associations,Chronic,Inherently chronic condition or long-term management required
651,ICD10:G44.001,Other headache syndromes (G44.001),Moderate,Emerging evidence or plausible systemic associations,Chronic,Inherently chronic condition or long-term management required
652,ICD10:G44.009,Other headache syndromes (G44.009),Moderate,Emerging evidence or plausible systemic associations,Chronic,Inherently chronic condition or long-term management required
653,ICD10:G44.011,Other headache syndromes (G44.011),Moderate,Emerging evidence or plausible systemic associations,Chronic,Inherently chronic condition or long-term management required
654,ICD10:G44.019,Other headache syndromes (G44.019),Moderate,Emerging evidence or plausible systemic associations,Chronic,Inherently chronic condition or long-term management required
655,ICD10:G44.031,Other headache syndromes (G44.031),Moderate,Emerging evidence or plausible systemic associations,Chronic,Inherently chronic condition or long-term management required
656,ICD10:G44.039,Other headache syndromes (G44.039),Moderate,Emerging evidence or plausible systemic associations,Chronic,Inherently chronic condition or long-term management required
657,ICD10:G44.219,Other headache syndromes (G44.219),Moderate,Emerging evidence or plausible systemic associations,Chronic,Inherently chronic condition or long-term management required
658,ICD10:R51,Headache (R51),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
659,ICD10:G44.51,Other headache syndromes (G44.51),Moderate,Emerging evidence or plausible systemic associations,Chronic,Inherently chronic condition or long-term management required
660,ICD10:G43.409,Diseases of the nervous system (G43.409),Unlikely,No clear association with long COVID,Chronic,Inherently chronic condition or long-term management required
661,ICD10:G44.81,Other headache syndromes (G44.81),Moderate,Emerging evidence or plausible systemic associations,Chronic,Inherently chronic condition or long-term management required
662,ICD10:G43.831,Diseases of the nervous system (G43.831),Unlikely,No clear association with long COVID,Chronic,Inherently chronic condition or long-term management required
663,ICD10:G43.829,Diseases of the nervous system (G43.829),Unlikely,No clear association with long COVID,Chronic,Inherently chronic condition or long-term management required
664,ICD10:G43.111,Diseases of the nervous system (G43.111),Unlikely,No clear association with long COVID,Chronic,Inherently chronic condition or long-term management required
665,ICD10:G43.119,Diseases of the nervous system (G43.119),Unlikely,No clear association with long COVID,Chronic,Inherently chronic condition or long-term management required
666,ICD10:G43.101,Diseases of the nervous system (G43.101),Unlikely,No clear association with long COVID,Chronic,Inherently chronic condition or long-term management required
667,ICD10:G43.109,Diseases of the nervous system (G43.109),Unlikely,No clear association with long COVID,Chronic,Inherently chronic condition or long-term management required
668,ICD10:G43.011,Diseases of the nervous system (G43.011),Unlikely,No clear association with long COVID,Chronic,Inherently chronic condition or long-term management required
669,ICD10:G43.019,Diseases of the nervous system (G43.019),Unlikely,No clear association with long COVID,Chronic,Inherently chronic condition or long-term management required
670,ICD10:G43.001,Diseases of the nervous system (G43.001),Unlikely,No clear association with long COVID,Chronic,Inherently chronic condition or long-term management required
671,ICD10:G43.009,Diseases of the nervous system (G43.009),Unlikely,No clear association with long COVID,Chronic,Inherently chronic condition or long-term management required
672,ICD10:G43.911,Diseases of the nervous system (G43.911),Unlikely,No clear association with long COVID,Chronic,Inherently chronic condition or long-term management required
673,ICD10:G43.919,Diseases of the nervous system (G43.919),Unlikely,No clear association with long COVID,Chronic,Inherently chronic condition or long-term management required
674,ICD10:G43.901,Diseases of the nervous system (G43.901),Unlikely,No clear association with long COVID,Chronic,Inherently chronic condition or long-term management required
675,ICD10:G43.909,Diseases of the nervous system (G43.909),Unlikely,No clear association with long COVID,Chronic,Inherently chronic condition or long-term management required
676,ICD10:G44.52,Other headache syndromes (G44.52),Moderate,Emerging evidence or plausible systemic associations,Chronic,Inherently chronic condition or long-term management required
677,ICD10:G43.B1,Diseases of the nervous system (G43.B1),Unlikely,No clear association with long COVID,Chronic,Inherently chronic condition or long-term management required
678,ICD10:G43.B0,Diseases of the nervous system (G43.B0),Unlikely,No clear association with long COVID,Chronic,Inherently chronic condition or long-term management required
679,ICD10:G44.59,Other headache syndromes (G44.59),Moderate,Emerging evidence or plausible systemic associations,Chronic,Inherently chronic condition or long-term management required
680,ICD10:G44.89,Other headache syndromes (G44.89),Moderate,Emerging evidence or plausible systemic associations,Chronic,Inherently chronic condition or long-term management required
681,ICD10:G43.811,Diseases of the nervous system (G43.811),Unlikely,No clear association with long COVID,Chronic,Inherently chronic condition or long-term management required
682,ICD10:G43.819,Diseases of the nervous system (G43.819),Unlikely,No clear association with long COVID,Chronic,Inherently chronic condition or long-term management required
683,ICD10:G43.801,Diseases of the nervous system (G43.801),Unlikely,No clear association with long COVID,Chronic,Inherently chronic condition or long-term management required
684,ICD10:G43.809,Diseases of the nervous system (G43.809),Unlikely,No clear association with long COVID,Chronic,Inherently chronic condition or long-term management required
685,ICD10:G43.C1,Diseases of the nervous system (G43.C1),Unlikely,No clear association with long COVID,Chronic,Inherently chronic condition or long-term management required
686,ICD10:G43.C0,Diseases of the nervous system (G43.C0),Unlikely,No clear association with long COVID,Chronic,Inherently chronic condition or long-term management required
687,ICD10:G43.519,Diseases of the nervous system (G43.519),Unlikely,No clear association with long COVID,Chronic,Inherently chronic condition or long-term management required
688,ICD10:G43.501,Diseases of the nervous system (G43.501),Unlikely,No clear association with long COVID,Chronic,Inherently chronic condition or long-term management required
689,ICD10:G44.301,Other headache syndromes (G44.301),Moderate,Emerging evidence or plausible systemic associations,Chronic,Inherently chronic condition or long-term management required
690,ICD10:G44.309,Other headache syndromes (G44.309),Moderate,Emerging evidence or plausible systemic associations,Chronic,Inherently chronic condition or long-term management required
691,ICD10:G44.83,Other headache syndromes (G44.83),Moderate,Emerging evidence or plausible systemic associations,Chronic,Inherently chronic condition or long-term management required
692,ICD10:G44.85,Other headache syndromes (G44.85),Moderate,Emerging evidence or plausible systemic associations,Chronic,Inherently chronic condition or long-term management required
693,ICD10:G44.53,Other headache syndromes (G44.53),Moderate,Emerging evidence or plausible systemic associations,Chronic,Inherently chronic condition or long-term management required
694,ICD10:G44.059,Other headache syndromes (G44.059),Moderate,Emerging evidence or plausible systemic associations,Chronic,Inherently chronic condition or long-term management required
695,ICD10:G44.201,Other headache syndromes (G44.201),Moderate,Emerging evidence or plausible systemic associations,Chronic,Inherently chronic condition or long-term management required
696,ICD10:G44.209,Other headache syndromes (G44.209),Moderate,Emerging evidence or plausible systemic associations,Chronic,Inherently chronic condition or long-term management required
697,ICD10:G44.1,Other headache syndromes (G44.1),Moderate,Emerging evidence or plausible systemic associations,Chronic,Inherently chronic condition or long-term management required
698,ICD10:H90.0,Conductive and sensorineural hearing loss (H90.0),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
699,ICD10:H90.12,Conductive and sensorineural hearing loss (H90.12),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
700,ICD10:H90.11,Conductive and sensorineural hearing loss (H90.11),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
701,ICD10:H90.2,Conductive and sensorineural hearing loss (H90.2),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
702,ICD10:H90.6,Conductive and sensorineural hearing loss (H90.6),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
703,ICD10:H90.72,Conductive and sensorineural hearing loss (H90.72),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
704,ICD10:H90.71,Conductive and sensorineural hearing loss (H90.71),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
705,ICD10:H90.8,Conductive and sensorineural hearing loss (H90.8),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
706,ICD10:H91.8X3,Other and unspecified hearing loss (H91.8X3),Moderate,Emerging evidence or plausible systemic associations,Chronic,Inherently chronic condition or long-term management required
707,ICD10:H91.8X2,Other and unspecified hearing loss (H91.8X2),Moderate,Emerging evidence or plausible systemic associations,Chronic,Inherently chronic condition or long-term management required
708,ICD10:H91.8X1,Other and unspecified hearing loss (H91.8X1),Moderate,Emerging evidence or plausible systemic associations,Chronic,Inherently chronic condition or long-term management required
709,ICD10:H91.8X9,Other and unspecified hearing loss (H91.8X9),Moderate,Emerging evidence or plausible systemic associations,Chronic,Inherently chronic condition or long-term management required
710,ICD10:H91.13,Other and unspecified hearing loss (H91.13),Moderate,Emerging evidence or plausible systemic associations,Chronic,Inherently chronic condition or long-term management required
711,ICD10:H91.10,Other and unspecified hearing loss (H91.10),Moderate,Emerging evidence or plausible systemic associations,Chronic,Inherently chronic condition or long-term management required
712,ICD10:H90.3,Conductive and sensorineural hearing loss (H90.3),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
713,ICD10:H90.42,Conductive and sensorineural hearing loss (H90.42),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
714,ICD10:H90.41,Conductive and sensorineural hearing loss (H90.41),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
715,ICD10:H91.23,Other and unspecified hearing loss (H91.23),Moderate,Emerging evidence or plausible systemic associations,Chronic,Inherently chronic condition or long-term management required
716,ICD10:H91.22,Other and unspecified hearing loss (H91.22),Moderate,Emerging evidence or plausible systemic associations,Chronic,Inherently chronic condition or long-term management required
717,ICD10:H91.21,Other and unspecified hearing loss (H91.21),Moderate,Emerging evidence or plausible systemic associations,Chronic,Inherently chronic condition or long-term management required
718,ICD10:H91.20,Other and unspecified hearing loss (H91.20),Moderate,Emerging evidence or plausible systemic associations,Chronic,Inherently chronic condition or long-term management required
719,ICD10:H91.93,Other and unspecified hearing loss (H91.93),Moderate,Emerging evidence or plausible systemic associations,Chronic,Inherently chronic condition or long-term management required
720,ICD10:H91.92,Other and unspecified hearing loss (H91.92),Moderate,Emerging evidence or plausible systemic associations,Chronic,Inherently chronic condition or long-term management required
721,ICD10:H91.91,Other and unspecified hearing loss (H91.91),Moderate,Emerging evidence or plausible systemic associations,Chronic,Inherently chronic condition or long-term management required
722,ICD10:H91.90,Other and unspecified hearing loss (H91.90),Moderate,Emerging evidence or plausible systemic associations,Chronic,Inherently chronic condition or long-term management required
723,ICD10:H90.5,Conductive and sensorineural hearing loss (H90.5),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
724,ICD10:I50.41,Acute combined systolic and diastolic heart failure,Unlikely,No clear association with long COVID,Chronic,Inherently chronic condition or long-term management required
725,ICD10:I50.31,Acute diastolic (congestive) heart failure,Unlikely,No clear association with long COVID,Chronic,Inherently chronic condition or long-term management required
726,ICD10:I50.43,Acute on chronic combined systolic and diastolic heart failure,Unlikely,No clear association with long COVID,Chronic,Inherently chronic condition or long-term management required
727,ICD10:I50.33,Acute on chronic diastolic (congestive) heart failure,Unlikely,No clear association with long COVID,Chronic,Inherently chronic condition or long-term management required
728,ICD10:I50.23,Acute on chronic systolic (congestive) heart failure,Unlikely,No clear association with long COVID,Chronic,Inherently chronic condition or long-term management required
729,ICD10:I50.21,Acute systolic (congestive) heart failure,Unlikely,No clear association with long COVID,Chronic,Inherently chronic condition or long-term management required
730,ICD10:I50.42,Chronic combined systolic and diastolic heart failure,Unlikely,No clear association with long COVID,Chronic,Inherently chronic condition or long-term management required
731,ICD10:I50.32,Chronic diastolic (congestive) heart failure,Unlikely,No clear association with long COVID,Chronic,Inherently chronic condition or long-term management required
732,ICD10:I50.22,Chronic systolic (congestive) heart failure,Unlikely,No clear association with long COVID,Chronic,Inherently chronic condition or long-term management required
733,ICD10:I50.9,"Heart failure, unspecified",Unlikely,No clear association with long COVID,Chronic,Inherently chronic condition or long-term management required
734,ICD10:I50.1,Left ventricular failure,Unlikely,No clear association with long COVID,Chronic,Inherently chronic condition or long-term management required
735,ICD10:Z95.811,Factors influencing health status and contact with health services (Z95.811),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
736,ICD10:I50.40,Unspecified combined systolic and diastolic heart failure,Unlikely,No clear association with long COVID,Chronic,Inherently chronic condition or long-term management required
737,ICD10:I50.30,Unspecified diastolic (congestive) heart failure,Unlikely,No clear association with long COVID,Chronic,Inherently chronic condition or long-term management required
738,ICD10:I50.20,Unspecified systolic (congestive) heart failure,Unlikely,No clear association with long COVID,Chronic,Inherently chronic condition or long-term management required
739,ICD10:R31.1,Benign essential microscopic hematuria,Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
740,ICD10:R31.0,Gross hematuria,Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
741,ICD10:R31.9,"Hematuria, unspecified",Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
742,ICD10:D89.810,"Other disorders involving the immune mechanism, not elsewhere classified (D89.810)",Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
743,ICD10:D89.82,"Other disorders involving the immune mechanism, not elsewhere classified (D89.82)",Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
744,ICD10:D81.810,Diseases of blood and blood-forming organs and immune disorders (D81.810),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
745,ICD10:D89.811,"Other disorders involving the immune mechanism, not elsewhere classified (D89.811)",Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
746,ICD10:D81.9,Diseases of blood and blood-forming organs and immune disorders (D81.9),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
747,ICD10:D83.1,Diseases of blood and blood-forming organs and immune disorders (D83.1),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
748,ICD10:D83.9,Diseases of blood and blood-forming organs and immune disorders (D83.9),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
749,ICD10:D89.1,"Other disorders involving the immune mechanism, not elsewhere classified (D89.1)",Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
750,ICD10:D89.9,"Other disorders involving the immune mechanism, not elsewhere classified (D89.9)",Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
751,ICD10:D89.813,"Other disorders involving the immune mechanism, not elsewhere classified (D89.813)",Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
752,ICD10:D89.2,"Other disorders involving the immune mechanism, not elsewhere classified (D89.2)",Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
753,ICD10:D89.42,"Other disorders involving the immune mechanism, not elsewhere classified (D89.42)",Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
754,ICD10:D80.9,Immunodeficiency with predominantly antibody defects (D80.9),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
755,ICD10:D84.9,Other immunodeficiencies (D84.9),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
756,ICD10:D89.40,"Other disorders involving the immune mechanism, not elsewhere classified (D89.40)",Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
757,ICD10:D80.1,Immunodeficiency with predominantly antibody defects (D80.1),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
